"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2016-04-29 18:30","광주","두산",1,4,"기아","패","승","정규시즌"
"2016-04-29 18:30","사직","NC",6,3,"롯데","승","패","정규시즌"
"2016-04-30 17:00","고척","SK",5,1,"넥센","승","패","정규시즌"
"2016-04-30 17:00","잠실","KT",3,2,"LG","승","패","정규시즌"
"2016-04-30 17:00","대전","삼성",6,3,"한화","승","패","정규시즌"
"2016-04-30 17:00","광주","두산",7,5,"기아","승","패","정규시즌"
"2016-04-30 17:00","사직","NC",8,1,"롯데","승","패","정규시즌"
"2016-05-01 14:00","고척","SK",1,11,"넥센","패","승","정규시즌"
"2016-05-01 14:00","잠실","KT",2,4,"LG","패","승","정규시즌"
"2016-05-01 14:00","대전","삼성",8,9,"한화","패","승","정규시즌"
"2016-05-01 14:00","사직","NC",5,2,"롯데","승","패","정규시즌"
"2016-05-01 17:00","광주","두산",4,1,"기아","승","패","정규시즌"
"2016-05-03 18:30","문학","한화",7,2,"SK","승","패","정규시즌"
"2016-05-03 18:30","대구","넥센",5,0,"삼성","승","패","정규시즌"
"2016-05-03 18:30","광주","롯데",2,3,"기아","패","승","정규시즌"
"2016-05-04 18:30","잠실","두산",17,1,"LG","승","패","정규시즌"
"2016-05-04 18:30","문학","한화",1,5,"SK","패","승","정규시즌"
"2016-05-04 18:30","대구","넥센",6,3,"삼성","승","패","정규시즌"
"2016-05-04 18:30","광주","롯데",2,3,"기아","패","승","정규시즌"
"2016-05-04 18:30","수원","NC",8,6,"KT","승","패","정규시즌"
"2016-05-05 14:00","잠실","두산",7,8,"LG","패","승","정규시즌"
"2016-05-05 14:00","문학","한화",6,19,"SK","패","승","정규시즌"
"2016-05-05 14:00","대구","넥센",2,5,"삼성","패","승","정규시즌"
"2016-05-05 14:00","광주","롯데",1,17,"기아","패","승","정규시즌"
"2016-05-05 14:00","수원","NC",15,2,"KT","승","패","정규시즌"
"2016-05-06 18:30","고척","기아",6,15,"넥센","패","승","정규시즌"
"2016-05-06 18:30","잠실","롯데",7,0,"두산","승","패","정규시즌"
"2016-05-06 18:30","대구","SK",4,5,"삼성","패","승","정규시즌"
"2016-05-06 18:30","마산","LG",2,13,"NC","패","승","정규시즌"
"2016-05-06 18:30","수원","한화",3,10,"KT","패","승","정규시즌"
"2016-05-07 17:00","고척","기아",3,4,"넥센","패","승","정규시즌"
"2016-05-07 17:00","잠실","롯데",5,0,"두산","승","패","정규시즌"
"2016-05-07 17:00","대구","SK",6,3,"삼성","승","패","정규시즌"
"2016-05-07 17:00","마산","LG",1,4,"NC","패","승","정규시즌"
"2016-05-07 17:00","수원","한화",10,17,"KT","패","승","정규시즌"
"2016-05-08 14:00","잠실","롯데",17,11,"두산","승","패","정규시즌"
"2016-05-08 14:00","대구","SK",7,8,"삼성","패","승","정규시즌"
"2016-05-08 14:00","마산","LG",5,11,"NC","패","승","정규시즌"
"2016-05-08 14:00","수원","한화",4,7,"KT","패","승","정규시즌"
"2016-05-08 17:00","고척","기아",6,7,"넥센","패","승","정규시즌"
"2016-05-10 18:30","잠실","삼성",9,3,"LG","승","패","정규시즌"
"2016-05-10 18:30","문학","두산",11,7,"SK","승","패","정규시즌"
"2016-05-11 18:30","잠실","삼성",2,16,"LG","패","승","정규시즌"
"2016-05-11 18:30","문학","두산",7,3,"SK","승","패","정규시즌"
"2016-05-11 18:30","대전","NC",5,6,"한화","패","승","정규시즌"
"2016-05-11 18:30","광주","KT",3,8,"기아","패","승","정규시즌"
"2016-05-11 18:30","사직","넥센",16,2,"롯데","승","패","정규시즌"
"2016-05-12 18:30","잠실","삼성",7,5,"LG","승","패","정규시즌"
"2016-05-12 18:30","문학","두산",2,5,"SK","패","승","정규시즌"
"2016-05-12 18:30","대전","NC",12,1,"한화","승","패","정규시즌"
"2016-05-12 18:30","광주","KT",6,10,"기아","패","승","정규시즌"
"2016-05-12 18:30","사직","넥센",1,8,"롯데","패","승","정규시즌"
"2016-05-13 18:30","고척","두산",8,4,"넥센","승","패","정규시즌"
"2016-05-13 18:30","잠실","SK",1,2,"LG","패","승","정규시즌"
"2016-05-13 18:30","대구","롯데",14,8,"삼성","승","패","정규시즌"
"2016-05-13 18:30","광주","한화",2,4,"기아","패","승","정규시즌"
"2016-05-13 18:30","마산","KT",5,4,"NC","승","패","정규시즌"
"2016-05-14 17:00","고척","두산",12,2,"넥센","승","패","정규시즌"
"2016-05-14 17:00","잠실","SK",3,12,"LG","패","승","정규시즌"
"2016-05-14 17:00","대구","롯데",4,10,"삼성","패","승","정규시즌"
"2016-05-14 17:00","광주","한화",0,8,"기아","패","승","정규시즌"
"2016-05-14 17:00","마산","KT",6,3,"NC","승","패","정규시즌"
"2016-05-15 14:00","고척","두산",5,3,"넥센","승","패","정규시즌"
"2016-05-15 14:00","광주","한화",7,8,"기아","패","승","정규시즌"
"2016-05-15 14:00","마산","KT",2,2,"NC","무","무","정규시즌"
"2016-05-15 17:00","대구","롯데",8,3,"삼성","승","패","정규시즌"
"2016-05-17 18:30","고척","NC",3,5,"넥센","패","승","정규시즌"
"2016-05-17 18:30","잠실","기아",3,4,"두산","패","승","정규시즌"
