"경기날짜및시간","구장","원정팀","원정팀점수","홈팀점수","홈팀","비고"
"2011-06-18 17:00","대전","두산",13,3,"한화","정규시즌"
"2011-06-18 17:00","무등","삼성",4,9,"KIA","정규시즌"
"2011-06-19 17:00","잠실","SK",6,2,"LG","정규시즌"
"2011-06-19 17:00","목동","롯데",10,4,"넥센","정규시즌"
"2011-06-19 17:00","대전","두산",1,2,"한화","정규시즌"
"2011-06-19 17:00","무등","삼성",4,3,"KIA","정규시즌"
"2011-06-21 18:30","잠실","넥센",3,7,"LG","정규시즌"
"2011-06-21 18:30","대구","한화",2,5,"삼성","정규시즌"
"2011-06-21 18:30","사직","두산",6,3,"롯데","정규시즌"
"2011-06-21 18:30","무등","SK",7,3,"KIA","정규시즌"
"2011-06-22 18:30","대구","한화",5,19,"삼성","정규시즌"
"2011-06-23 18:30","대구","한화",2,8,"삼성","정규시즌"
"2011-06-23 18:30","사직","두산",9,5,"롯데","정규시즌"
"2011-06-23 18:30","무등","SK",2,8,"KIA","정규시즌"
"2011-06-24 18:30","대구","넥센",9,5,"삼성","정규시즌"
"2011-06-28 18:30","잠실","삼성",4,3,"LG","정규시즌"
"2011-06-28 18:30","목동","두산",6,5,"넥센","정규시즌"
"2011-06-28 18:30","문학","한화",5,1,"SK","정규시즌"
"2011-06-28 18:30","사직","KIA",7,2,"롯데","정규시즌"
"2011-06-29 18:30","사직","KIA",7,2,"롯데","정규시즌"
"2011-06-30 18:30","문학","한화",9,6,"SK","정규시즌"
"2011-06-30 18:30","사직","KIA",0,4,"롯데","정규시즌"
"2011-07-01 18:30","잠실","두산",6,0,"LG","정규시즌"
"2011-07-01 18:30","목동","SK",5,6,"넥센","정규시즌"
"2011-07-01 18:30","대구","롯데",4,5,"삼성","정규시즌"
"2011-07-01 18:30","무등","한화",4,12,"KIA","정규시즌"
"2011-07-02 17:00","잠실","두산",4,3,"LG","정규시즌"
"2011-07-02 17:00","목동","SK",3,5,"넥센","정규시즌"
"2011-07-02 17:00","대구","롯데",8,4,"삼성","정규시즌"
"2011-07-02 17:00","무등","한화",11,7,"KIA","정규시즌"
"2011-07-03 17:00","무등","한화",1,5,"KIA","정규시즌"
"2011-07-05 18:30","잠실","롯데",6,2,"두산","정규시즌"
"2011-07-05 18:30","문학","삼성",6,5,"SK","정규시즌"
"2011-07-05 18:30","대전","LG",1,2,"한화","정규시즌"
"2011-07-05 18:30","군산","넥센",1,3,"KIA","정규시즌"
"2011-07-06 18:30","잠실","롯데",4,1,"두산","정규시즌"
"2011-07-06 18:30","문학","삼성",9,5,"SK","정규시즌"
"2011-07-06 18:30","대전","LG",10,7,"한화","정규시즌"
"2011-07-06 18:30","군산","넥센",1,2,"KIA","정규시즌"
"2011-07-07 18:30","대전","LG",4,1,"한화","정규시즌"
"2011-07-07 18:30","군산","넥센",5,7,"KIA","정규시즌"
"2011-07-08 18:30","잠실","KIA",1,0,"LG","정규시즌"
"2011-07-08 18:30","문학","롯데",2,10,"SK","정규시즌"
"2011-07-08 18:30","대구","두산",2,1,"삼성","정규시즌"
"2011-07-09 17:00","잠실","KIA",3,4,"LG","정규시즌"
"2011-07-09 17:00","문학","롯데",1,2,"SK","정규시즌"
"2011-07-09 17:00","대전","넥센",5,7,"한화","정규시즌"
"2011-07-10 17:00","잠실","KIA",6,2,"LG","정규시즌"
"2011-07-12 18:30","잠실","SK",0,2,"LG","정규시즌"
"2011-07-12 18:30","목동","삼성",7,4,"넥센","정규시즌"
"2011-07-12 18:30","사직","한화",3,11,"롯데","정규시즌"
"2011-07-13 18:30","무등","두산",4,5,"KIA","정규시즌"
"2011-07-14 18:30","사직","한화",3,4,"롯데","정규시즌"
"2011-07-14 18:30","무등","두산",11,2,"KIA","정규시즌"
"2011-07-15 18:30","대구","KIA",4,0,"삼성","정규시즌"
"2011-07-15 18:30","사직","LG",6,10,"롯데","정규시즌"
"2011-07-16 17:00","대구","KIA",3,4,"삼성","정규시즌"
"2011-07-16 17:00","사직","LG",4,5,"롯데","정규시즌"
"2011-07-17 17:00","잠실","넥센",3,2,"두산","정규시즌"
"2011-07-17 17:00","문학","한화",5,0,"SK","정규시즌"
"2011-07-17 17:00","대구","KIA",4,2,"삼성","정규시즌"
"2011-07-17 17:00","사직","LG",4,0,"롯데","정규시즌"
"2011-07-19 18:30","잠실","롯데",5,3,"두산","정규시즌"
"2011-07-19 18:30","목동","LG",1,2,"넥센","정규시즌"
"2011-07-19 18:30","대전","KIA",6,7,"한화","정규시즌"
"2011-07-19 18:30","대구","SK",2,3,"삼성","정규시즌"
"2011-07-20 18:30","잠실","롯데",13,5,"두산","정규시즌"
"2011-07-20 18:30","목동","LG",3,4,"넥센","정규시즌"
"2011-07-20 18:30","대전","KIA",5,3,"한화","정규시즌"
"2011-07-20 18:30","대구","SK",10,4,"삼성","정규시즌"
"2011-07-21 18:30","잠실","롯데",4,6,"두산","정규시즌"
"2011-07-21 18:30","목동","LG",7,11,"넥센","정규시즌"
"2011-07-21 18:30","대전","KIA",4,2,"한화","정규시즌"
"2011-07-21 18:30","대구","SK",2,1,"삼성","정규시즌"
"2011-07-23 18:30","잠실","EAST",4,5,"WEST","올스타"
"2011-07-26 18:30","사직","SK",11,2,"롯데","정규시즌"
"2011-07-26 18:30","무등","삼성",5,2,"KIA","정규시즌"
"2011-07-27 18:30","무등","삼성",5,1,"KIA","정규시즌"
"2011-07-28 18:30","사직","SK",4,6,"롯데","정규시즌"
"2011-07-28 18:30","무등","삼성",7,3,"KIA","정규시즌"
"2011-07-29 18:30","잠실","삼성",4,2,"LG","정규시즌"
"2011-07-29 18:30","대전","SK",8,4,"한화","정규시즌"
"2011-07-29 18:30","사직","두산",1,4,"롯데","정규시즌"
"2011-07-29 18:30","무등","넥센",5,10,"KIA","정규시즌"
"2011-07-30 17:00","잠실","삼성",5,10,"LG","정규시즌"
"2011-07-30 17:00","대전","SK",2,7,"한화","정규시즌"
"2011-07-30 17:00","사직","두산",6,8,"롯데","정규시즌"
"2011-07-30 17:00","무등","넥센",0,2,"KIA","정규시즌"
"2011-07-31 17:00","대전","SK",5,2,"한화","정규시즌"
"2011-07-31 17:00","사직","두산",7,8,"롯데","정규시즌"
"2011-07-31 17:00","무등","넥센",9,4,"KIA","정규시즌"
"2011-08-02 18:30","잠실","KIA",8,3,"두산","정규시즌"
"2011-08-02 18:30","문학","LG",5,4,"SK","정규시즌"
"2011-08-02 18:30","대전","롯데",9,3,"한화","정규시즌"
"2011-08-02 18:30","대구","넥센",3,5,"삼성","정규시즌"
