"날짜","시간","경기","구장","비고","경기날짜및시간","원정팀","원정팀_점수","홈팀_점수","홈팀","비고.1","비고.2","홈팀_결과","원정팀_결과"
"","18:30","kt 13vs3 삼성","대구","-","2016-04-22 18:30","kt",13,3,"삼성","","정규시즌","패","승"
"","18:30","KIA 5vs7 롯데","사직","-","2016-04-22 18:30","KIA",5,7,"롯데","","정규시즌","승","패"
"04.23(토)","17:00","LG 2vs14 넥센","고척","-","2016-04-23 17:00","LG",2,14,"넥센","","정규시즌","승","패"
"","17:00","한화 2vs3 두산","잠실","-","2016-04-23 17:00","한화",2,3,"두산","","정규시즌","승","패"
"","17:00","NC 2vs8 SK","문학","-","2016-04-23 17:00","NC",2,8,"SK","","정규시즌","승","패"
"","17:00","kt 11vs6 삼성","대구","-","2016-04-23 17:00","kt",11,6,"삼성","","정규시즌","패","승"
"","17:00","KIA 16vs10 롯데","사직","-","2016-04-23 17:00","KIA",16,10,"롯데","","정규시즌","패","승"
"04.24(일)","14:00","LG 5vs3 넥센","고척","-","2016-04-24 14:00","LG",5,3,"넥센","","정규시즌","패","승"
"","14:00","NC 2vs3 SK","문학","-","2016-04-24 14:00","NC",2,3,"SK","","정규시즌","승","패"
"","14:00","kt 0vs6 삼성","대구","-","2016-04-24 14:00","kt",0,6,"삼성","","정규시즌","승","패"
"","14:00","KIA 11vs4 롯데","사직","-","2016-04-24 14:00","KIA",11,4,"롯데","","정규시즌","패","승"
"","17:00","한화 1vs5 두산","잠실","-","2016-04-24 17:00","한화",1,5,"두산","","정규시즌","승","패"
"04.26(화)","18:30","SK 3vs4 두산","잠실","-","2016-04-26 18:30","SK",3,4,"두산","","정규시즌","승","패"
"","18:30","KIA 2vs4 한화","대전","-","2016-04-26 18:30","KIA",2,4,"한화","","정규시즌","승","패"
"","18:30","LG 2vs0 삼성","대구","-","2016-04-26 18:30","LG",2,0,"삼성","","정규시즌","패","승"
"","18:30","넥센 3vs4 NC","마산","-","2016-04-26 18:30","넥센",3,4,"NC","","정규시즌","승","패"
"","18:30","롯데 1vs2 kt","수원","-","2016-04-26 18:30","롯데",1,2,"kt","","정규시즌","승","패"
"04.27(수)","18:30","SK 3vs1 두산","잠실","-","2016-04-27 18:30","SK",3,1,"두산","","정규시즌","패","승"
"","18:30","KIA vs 한화","대전","우천취소","2016-04-27 18:30","KIA",NA,NA,"한화","경기 없는 날","정규시즌",NA,NA
"","18:30","LG vs 삼성","대구","우천취소","2016-04-27 18:30","LG",NA,NA,"삼성","경기 없는 날","정규시즌",NA,NA
"","18:30","넥센 vs NC","마산","우천취소","2016-04-27 18:30","넥센",NA,NA,"NC","경기 없는 날","정규시즌",NA,NA
"","18:30","롯데 4vs0 kt","수원","-","2016-04-27 18:30","롯데",4,0,"kt","","정규시즌","패","승"
"04.28(목)","18:30","SK 1vs4 두산","잠실","-","2016-04-28 18:30","SK",1,4,"두산","","정규시즌","승","패"
"","18:30","KIA 2vs3 한화","대전","-","2016-04-28 18:30","KIA",2,3,"한화","","정규시즌","승","패"
"","18:30","LG 7vs9 삼성","대구","-","2016-04-28 18:30","LG",7,9,"삼성","","정규시즌","승","패"
"","18:30","넥센 4vs2 NC","마산","-","2016-04-28 18:30","넥센",4,2,"NC","","정규시즌","패","승"
"","18:30","롯데 8vs3 kt","수원","-","2016-04-28 18:30","롯데",8,3,"kt","","정규시즌","패","승"
"04.29(금)","18:30","SK 4vs3 넥센","고척","-","2016-04-29 18:30","SK",4,3,"넥센","","정규시즌","패","승"
"","18:30","kt 3vs4 LG","잠실","-","2016-04-29 18:30","kt",3,4,"LG","","정규시즌","승","패"
"","18:30","삼성 5vs10 한화","대전","-","2016-04-29 18:30","삼성",5,10,"한화","","정규시즌","승","패"
"","18:30","두산 1vs4 KIA","광주","-","2016-04-29 18:30","두산",1,4,"KIA","","정규시즌","승","패"
"","18:30","NC 6vs3 롯데","사직","-","2016-04-29 18:30","NC",6,3,"롯데","","정규시즌","패","승"
"04.30(토)","17:00","SK 5vs1 넥센","고척","-","2016-04-30 17:00","SK",5,1,"넥센","","정규시즌","패","승"
"","17:00","kt 3vs2 LG","잠실","-","2016-04-30 17:00","kt",3,2,"LG","","정규시즌","패","승"
"","17:00","삼성 6vs3 한화","대전","-","2016-04-30 17:00","삼성",6,3,"한화","","정규시즌","패","승"
"","17:00","두산 7vs5 KIA","광주","-","2016-04-30 17:00","두산",7,5,"KIA","","정규시즌","패","승"
"","17:00","NC 8vs1 롯데","사직","-","2016-04-30 17:00","NC",8,1,"롯데","","정규시즌","패","승"
"05.01(일)","14:00","SK 1vs11 넥센","고척","-","2016-05-01 14:00","SK",1,11,"넥센","","정규시즌","승","패"
"","14:00","kt 2vs4 LG","잠실","-","2016-05-01 14:00","kt",2,4,"LG","","정규시즌","승","패"
"","14:00","삼성 8vs9 한화","대전","-","2016-05-01 14:00","삼성",8,9,"한화","","정규시즌","승","패"
"","14:00","NC 5vs2 롯데","사직","-","2016-05-01 14:00","NC",5,2,"롯데","","정규시즌","패","승"
"","17:00","두산 4vs1 KIA","광주","-","2016-05-01 17:00","두산",4,1,"KIA","","정규시즌","패","승"
"05.03(화)","18:30","두산 vs LG","잠실","우천취소","2016-05-03 18:30","두산",NA,NA,"LG","경기 없는 날","정규시즌",NA,NA
"","18:30","한화 7vs2 SK","문학","-","2016-05-03 18:30","한화",7,2,"SK","","정규시즌","패","승"
"","18:30","넥센 5vs0 삼성","대구","-","2016-05-03 18:30","넥센",5,0,"삼성","","정규시즌","패","승"
