"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2018-06-06 14:00","고척","두산",7,3,"넥센","정규시즌"
"2018-06-06 14:00","잠실","한화",5,1,"LG","정규시즌"
"2018-06-06 14:00","수원","기아",5,2,"KT","정규시즌"
"2018-06-06 17:00","문학","삼성",2,7,"SK","정규시즌"
"2018-06-06 17:00","마산","롯데",10,5,"NC","정규시즌"
"2018-06-07 18:30","고척","두산",3,0,"넥센","정규시즌"
"2018-06-07 18:30","잠실","한화",5,6,"LG","정규시즌"
"2018-06-07 18:30","문학","삼성",6,2,"SK","정규시즌"
"2018-06-07 18:30","마산","롯데",4,5,"NC","정규시즌"
"2018-06-07 18:30","수원","기아",2,1,"KT","정규시즌"
"2018-06-08 18:30","잠실","NC",1,6,"두산","정규시즌"
"2018-06-08 18:30","대전","SK",5,7,"한화","정규시즌"
"2018-06-08 18:30","대구","LG",9,5,"삼성","정규시즌"
"2018-06-08 18:30","사직","기아",6,9,"롯데","정규시즌"
"2018-06-08 18:30","수원","넥센",11,5,"KT","정규시즌"
"2018-06-09 17:00","잠실","NC",0,3,"두산","정규시즌"
"2018-06-09 17:00","대전","SK",4,2,"한화","정규시즌"
"2018-06-09 17:00","대구","LG",6,0,"삼성","정규시즌"
"2018-06-09 17:00","사직","기아",7,5,"롯데","정규시즌"
"2018-06-09 17:00","수원","넥센",2,5,"KT","정규시즌"
"2018-06-10 17:00","잠실","NC",3,6,"두산","정규시즌"
"2018-06-10 17:00","대전","SK",3,4,"한화","정규시즌"
"2018-06-10 17:00","대구","LG",3,1,"KT","정규시즌"
"2018-06-10 17:00","수원","넥센",6,12,"삼성","정규시즌"
"2018-06-12 18:30","고척","한화",6,2,"넥센","정규시즌"
"2018-06-12 18:30","잠실","KT",2,3,"두산","정규시즌"
"2018-06-12 18:30","광주","SK",0,4,"기아","정규시즌"
"2018-06-12 18:30","사직","삼성",4,2,"롯데","정규시즌"
"2018-06-12 18:30","마산","LG",4,8,"NC","정규시즌"
"2018-06-13 18:30","고척","한화",2,4,"넥센","정규시즌"
"2018-06-13 18:30","잠실","KT",4,6,"두산","정규시즌"
"2018-06-13 18:30","광주","SK",5,4,"기아","정규시즌"
"2018-06-13 18:30","사직","삼성",9,6,"NC","정규시즌"
"2018-06-13 18:30","마산","LG",3,10,"롯데","정규시즌"
"2018-06-14 18:30","고척","한화",9,8,"넥센","정규시즌"
"2018-06-14 18:30","잠실","KT",8,9,"두산","정규시즌"
"2018-06-14 18:30","광주","SK",9,2,"기아","정규시즌"
"2018-06-14 18:30","사직","LG",7,9,"롯데","정규시즌"
"2018-06-14 18:30","마산","삼성",11,11,"NC","정규시즌"
"2018-06-15 18:30","고척","삼성",2,9,"넥센","정규시즌"
"2018-06-15 18:30","잠실","기아",3,4,"LG","정규시즌"
"2018-06-15 18:30","문학","KT",4,6,"SK","정규시즌"
"2018-06-15 18:30","대전","롯데",14,4,"한화","정규시즌"
"2018-06-15 18:30","마산","두산",13,5,"NC","정규시즌"
"2018-06-16 17:00","고척","삼성",1,9,"넥센","정규시즌"
"2018-06-16 17:00","잠실","기아",3,4,"LG","정규시즌"
"2018-06-16 17:00","문학","롯데",9,3,"SK","정규시즌"
"2018-06-16 17:00","대전","두산",8,3,"한화","정규시즌"
"2018-06-16 17:00","마산","KT",1,5,"NC","정규시즌"
"2018-06-17 17:00","고척","삼성",8,9,"LG","정규시즌"
"2018-06-17 17:00","잠실","기아",6,7,"SK","정규시즌"
"2018-06-17 17:00","문학","두산",6,4,"NC","정규시즌"
"2018-06-17 17:00","대전","KT",5,12,"넥센","정규시즌"
"2018-06-17 17:00","마산","롯데",13,11,"한화","정규시즌"
"2018-06-19 18:30","잠실","넥센",6,5,"두산","정규시즌"
"2018-06-19 18:30","대구","SK",6,6,"삼성","정규시즌"
"2018-06-19 18:30","청주","LG",4,0,"한화","정규시즌"
