날짜,시간,경기,구장,비고,경기날짜및시간,원정팀,원정팀_점수,홈팀_점수,홈팀,비고.1,비고.2,홈팀_결과,원정팀_결과
04.25(목),18:30,삼성 2vs1 LG,잠실,-,2013-04-25 18:30,삼성,2,1,LG,,정규시즌,패,승
,18:30,두산 6vs3 넥센,목동,-,2013-04-25 18:30,두산,6,3,넥센,,정규시즌,패,승
,18:30,SK 0vs6 롯데,사직,-,2013-04-25 18:30,SK,0,6,롯데,,정규시즌,승,패
,18:30,KIA 11vs4 NC,마산,-,2013-04-25 18:30,KIA,11,4,NC,,정규시즌,패,승
04.26(금),18:30,롯데 4vs5 LG,잠실,-,2013-04-26 18:30,롯데,4,5,LG,,정규시즌,승,패
,18:30,한화 1vs6 SK,문학,-,2013-04-26 18:30,한화,1,6,SK,,정규시즌,승,패
,18:30,삼성 6vs0 KIA,무등,-,2013-04-26 18:30,삼성,6,0,KIA,,정규시즌,패,승
,18:30,두산 8vs4 NC,마산,-,2013-04-26 18:30,두산,8,4,NC,,정규시즌,패,승
04.27(토),17:00,롯데 2vs1 LG,잠실,-,2013-04-27 17:00,롯데,2,1,LG,,정규시즌,패,승
,17:00,한화 1vs4 SK,문학,-,2013-04-27 17:00,한화,1,4,SK,,정규시즌,승,패
,17:00,삼성 1vs5 KIA,무등,-,2013-04-27 17:00,삼성,1,5,KIA,,정규시즌,승,패
,17:00,두산 8vs5 NC,마산,-,2013-04-27 17:00,두산,8,5,NC,,정규시즌,패,승
04.28(일),14:00,롯데 0vs4 LG,잠실,-,2013-04-28 14:00,롯데,0,4,LG,,정규시즌,승,패
,14:00,한화 5vs5 SK,문학,-,2013-04-28 14:00,한화,5,5,SK,,정규시즌,무,무
,14:00,삼성 4vs1 KIA,무등,-,2013-04-28 14:00,삼성,4,1,KIA,,정규시즌,패,승
,14:00,두산 3vs1 NC,마산,-,2013-04-28 14:00,두산,3,1,NC,,정규시즌,패,승
04.30(화),18:30,KIA 5vs3 두산,잠실,-,2013-04-30 18:30,KIA,5,3,두산,,정규시즌,패,승
,18:30,롯데 3vs9 한화,대전,-,2013-04-30 18:30,롯데,3,9,한화,,정규시즌,승,패
,18:30,넥센 3vs1 삼성,대구,-,2013-04-30 18:30,넥센,3,1,삼성,,정규시즌,패,승
,18:30,LG 1vs2 NC,마산,-,2013-04-30 18:30,LG,1,2,NC,,정규시즌,승,패
05.01(수),18:30,KIA 8vs1 두산,잠실,-,2013-05-01 18:30,KIA,8,1,두산,,정규시즌,패,승
,18:30,롯데 4vs3 한화,대전,-,2013-05-01 18:30,롯데,4,3,한화,,정규시즌,패,승
,18:30,넥센 8vs5 삼성,대구,-,2013-05-01 18:30,넥센,8,5,삼성,,정규시즌,패,승
,18:30,LG 6vs7 NC,마산,-,2013-05-01 18:30,LG,6,7,NC,,정규시즌,승,패
05.02(목),18:30,KIA 4vs6 두산,잠실,-,2013-05-02 18:30,KIA,4,6,두산,,정규시즌,승,패
,18:30,롯데 4vs3 한화,대전,-,2013-05-02 18:30,롯데,4,3,한화,,정규시즌,패,승
,18:30,넥센 4vs3 삼성,대구,-,2013-05-02 18:30,넥센,4,3,삼성,,정규시즌,패,승
,18:30,LG 1vs8 NC,마산,-,2013-05-02 18:30,LG,1,8,NC,,정규시즌,승,패
05.03(금),18:30,LG 6vs3 두산,잠실,-,2013-05-03 18:30,LG,6,3,두산,,정규시즌,패,승
,18:30,KIA 0vs1 넥센,목동,-,2013-05-03 18:30,KIA,0,1,넥센,,정규시즌,승,패
,18:30,SK 1vs5 한화,대전,-,2013-05-03 18:30,SK,1,5,한화,,정규시즌,승,패
,18:30,삼성 10vs3 롯데,사직,-,2013-05-03 18:30,삼성,10,3,롯데,,정규시즌,패,승
05.04(토),17:00,LG 2vs6 두산,잠실,-,2013-05-04 17:00,LG,2,6,두산,,정규시즌,승,패
,17:00,KIA 8vs4 넥센,목동,-,2013-05-04 17:00,KIA,8,4,넥센,,정규시즌,패,승
,17:00,SK 4vs0 한화,대전,-,2013-05-04 17:00,SK,4,0,한화,,정규시즌,패,승
,17:00,삼성 5vs3 롯데,사직,-,2013-05-04 17:00,삼성,5,3,롯데,,정규시즌,패,승
05.05(일),14:00,LG 2vs5 두산,잠실,-,2013-05-05 14:00,LG,2,5,두산,,정규시즌,승,패
,14:00,KIA 13vs9 넥센,목동,-,2013-05-05 14:00,KIA,13,9,넥센,,정규시즌,패,승
,14:00,SK 8vs5 한화,대전,-,2013-05-05 14:00,SK,8,5,한화,,정규시즌,패,승
,14:00,삼성 6vs1 롯데,사직,-,2013-05-05 14:00,삼성,6,1,롯데,,정규시즌,패,승
05.07(화),18:30,넥센 6vs4 LG,잠실,-,2013-05-07 18:30,넥센,6,4,LG,,정규시즌,패,승
,18:30,두산 3vs8 SK,문학,-,2013-05-07 18:30,두산,3,8,SK,,정규시즌,승,패
,18:30,롯데 3vs0 KIA,무등,-,2013-05-07 18:30,롯데,3,0,KIA,,정규시즌,패,승
,18:30,한화 8vs4 NC,마산,-,2013-05-07 18:30,한화,8,4,NC,,정규시즌,패,승
05.08(수),18:30,넥센 3vs1 LG,잠실,-,2013-05-08 18:30,넥센,3,1,LG,,정규시즌,패,승
,18:30,두산 12vs13 SK,문학,-,2013-05-08 18:30,두산,12,13,SK,,정규시즌,승,패
,18:30,롯데 5vs1 KIA,무등,-,2013-05-08 18:30,롯데,5,1,KIA,,정규시즌,패,승
,18:30,한화 6vs4 NC,마산,-,2013-05-08 18:30,한화,6,4,NC,,정규시즌,패,승
05.09(목),18:30,넥센 vs LG,잠실,우천취소,2013-05-09 18:30,넥센,NA,NA,LG,경기 없는 날,정규시즌,NA,NA
,18:30,두산 11vs2 SK,문학,-,2013-05-09 18:30,두산,11,2,SK,,정규시즌,패,승
,18:30,롯데 vs KIA,무등,우천취소,2013-05-09 18:30,롯데,NA,NA,KIA,경기 없는 날,정규시즌,NA,NA
,18:30,한화 3vs7 NC,마산,-,2013-05-09 18:30,한화,3,7,NC,,정규시즌,승,패
05.10(금),18:30,NC 3vs4 두산,잠실,-,2013-05-10 18:30,NC,3,4,두산,,정규시즌,승,패
,18:30,SK 6vs4 넥센,목동,-,2013-05-10 18:30,SK,6,4,넥센,,정규시즌,패,승
,18:30,LG 4vs2 롯데,사직,-,2013-05-10 18:30,LG,4,2,롯데,,정규시즌,패,승
,18:30,KIA 0vs3 삼성,포항,-,2013-05-10 18:30,KIA,0,3,삼성,,정규시즌,승,패
05.11(토),17:00,NC 5vs6 두산,잠실,-,2013-05-11 17:00,NC,5,6,두산,,정규시즌,승,패
,17:00,SK 2vs5 넥센,목동,-,2013-05-11 17:00,SK,2,5,넥센,,정규시즌,승,패
,17:00,LG 3vs4 롯데,사직,-,2013-05-11 17:00,LG,3,4,롯데,,정규시즌,승,패
,17:00,KIA 1vs9 삼성,포항,-,2013-05-11 17:00,KIA,1,9,삼성,,정규시즌,승,패
05.12(일),17:00,NC 17vs5 두산,잠실,-,2013-05-12 17:00,NC,17,5,두산,,정규시즌,패,승
,17:00,SK 5vs8 넥센,목동,-,2013-05-12 17:00,SK,5,8,넥센,,정규시즌,승,패
,17:00,LG 3vs8 롯데,사직,-,2013-05-12 17:00,LG,3,8,롯데,,정규시즌,승,패
,17:00,KIA 4vs5 삼성,포항,-,2013-05-12 17:00,KIA,4,5,삼성,,정규시즌,승,패
05.14(화),18:30,삼성 7vs3 두산,잠실,-,2013-05-14 18:30,삼성,7,3,두산,,정규시즌,패,승
,18:30,한화 7vs2 넥센,목동,-,2013-05-14 18:30,한화,7,2,넥센,,정규시즌,패,승
,18:30,NC 2vs2 롯데,사직,-,2013-05-14 18:30,NC,2,2,롯데,,정규시즌,무,무
,18:30,SK 1vs3 KIA,무등,-,2013-05-14 18:30,SK,1,3,KIA,,정규시즌,승,패
05.15(수),18:30,삼성 8vs3 두산,잠실,-,2013-05-15 18:30,삼성,8,3,두산,,정규시즌,패,승
,18:30,한화 1vs19 넥센,목동,-,2013-05-15 18:30,한화,1,19,넥센,,정규시즌,승,패
,18:30,NC 6vs4 롯데,사직,-,2013-05-15 18:30,NC,6,4,롯데,,정규시즌,패,승
,18:30,SK 4vs3 KIA,무등,-,2013-05-15 18:30,SK,4,3,KIA,,정규시즌,패,승
05.16(목),18:30,삼성 0vs7 두산,잠실,-,2013-05-16 18:30,삼성,0,7,두산,,정규시즌,승,패
,18:30,한화 5vs6 넥센,목동,-,2013-05-16 18:30,한화,5,6,넥센,,정규시즌,승,패
,18:30,NC 8vs5 롯데,사직,-,2013-05-16 18:30,NC,8,5,롯데,,정규시즌,패,승
,18:30,SK 9vs2 KIA,무등,-,2013-05-16 18:30,SK,9,2,KIA,,정규시즌,패,승
05.17(금),14:00,두산 4vs5 한화,대전,-,2013-05-17 14:00,두산,4,5,한화,,정규시즌,승,패
,15:00,롯데 3vs4 SK,문학,-,2013-05-17 15:00,롯데,3,4,SK,,정규시즌,승,패
,17:00,KIA 3vs2 LG,잠실,-,2013-05-17 17:00,KIA,3,2,LG,,정규시즌,패,승
,17:00,삼성 2vs1 NC,마산,-,2013-05-17 17:00,삼성,2,1,NC,,정규시즌,패,승
05.18(토),17:00,KIA 3vs1 LG,잠실,-,2013-05-18 17:00,KIA,3,1,LG,,정규시즌,패,승
,17:00,롯데 6vs5 SK,문학,-,2013-05-18 17:00,롯데,6,5,SK,,정규시즌,패,승
,17:00,두산 2vs14 한화,대전,-,2013-05-18 17:00,두산,2,14,한화,,정규시즌,승,패
,17:00,삼성 7vs3 NC,마산,-,2013-05-18 17:00,삼성,7,3,NC,,정규시즌,패,승
05.19(일),17:00,KIA 4vs7 LG,잠실,-,2013-05-19 17:00,KIA,4,7,LG,,정규시즌,승,패
,17:00,롯데 11vs5 SK,문학,-,2013-05-19 17:00,롯데,11,5,SK,,정규시즌,패,승
,17:00,두산 15vs8 한화,대전,-,2013-05-19 17:00,두산,15,8,한화,,정규시즌,패,승
,17:00,삼성 7vs4 NC,마산,-,2013-05-19 17:00,삼성,7,4,NC,,정규시즌,패,승
05.21(화),18:30,넥센 15vs7 두산,잠실,-,2013-05-21 18:30,넥센,15,7,두산,,정규시즌,패,승
,18:30,NC 2vs6 SK,문학,-,2013-05-21 18:30,NC,2,6,SK,,정규시즌,승,패
,18:30,LG 4vs8 삼성,대구,-,2013-05-21 18:30,LG,4,8,삼성,,정규시즌,승,패
,18:30,한화 2vs8 KIA,무등,-,2013-05-21 18:30,한화,2,8,KIA,,정규시즌,승,패
05.22(수),18:30,넥센 8vs4 두산,잠실,-,2013-05-22 18:30,넥센,8,4,두산,,정규시즌,패,승
,18:30,NC 4vs3 SK,문학,-,2013-05-22 18:30,NC,4,3,SK,,정규시즌,패,승
,18:30,LG 9vs1 삼성,대구,-,2013-05-22 18:30,LG,9,1,삼성,,정규시즌,패,승
,18:30,한화 3vs1 KIA,무등,-,2013-05-22 18:30,한화,3,1,KIA,,정규시즌,패,승
05.23(목),18:30,넥센 1vs2 두산,잠실,-,2013-05-23 18:30,넥센,1,2,두산,,정규시즌,승,패
,18:30,NC 6vs2 SK,문학,-,2013-05-23 18:30,NC,6,2,SK,,정규시즌,패,승
,18:30,LG 3vs2 삼성,대구,-,2013-05-23 18:30,LG,3,2,삼성,,정규시즌,패,승
